timestamp,cpu_freq_MHz,cpu_usage_percent,disk_usage_percent,active_power,annual_energy,active_energy
2025-06-17 16:14:45,1574,8.3,29,24.05166,70.23084,203.243
2025-06-17 16:14:45,2613,8.1,29,24.05166,70.23084,203.243
2025-06-17 16:14:45,2613,8.1,29,24.05166,70.23084,203.243
2025-06-17 16:14:49,1558,6.5,29,24.38082,71.19199,203.24303
2025-06-17 16:14:50,1382,5.9,29,24.36058,71.13291,203.24303
2025-06-17 16:14:50,1382,6.0,29,24.36058,71.13291,203.24303
2025-06-17 16:14:53,1414,7.5,29,23.96128,69.96693,203.24306
2025-06-17 16:14:54,1412,7.3,29,24.45502,71.40865,203.24306
2025-06-17 16:14:54,1412,7.4,29,24.45502,71.40865,203.24306
2025-06-17 16:14:58,1520,7.8,29,24.78148,72.36192,203.24309
2025-06-17 16:14:58,1469,7.4,29,24.78148,72.36192,203.24309
2025-06-17 16:14:58,1469,7.4,29,24.78148,72.36192,203.24309
2025-06-17 16:15:02,1426,7.8,29,24.63039,71.92074,203.24312
2025-06-17 16:15:02,1219,7.8,29,24.63039,71.92074,203.24312
2025-06-17 16:15:02,1219,7.8,29,24.63039,71.92074,203.24312
2025-06-17 16:15:06,1277,7.8,29,24.62094,71.89316,203.24313
2025-06-17 16:15:06,1631,7.1,29,24.62094,71.89316,203.24313
2025-06-17 16:15:06,1631,7.1,29,24.62094,71.89316,203.24313
2025-06-17 16:15:10,1421,7.0,29,24.37407,71.1723,203.24316
2025-06-17 16:15:11,1643,6.7,29,,,
2025-06-17 16:15:11,1643,6.7,29,,,
2025-06-17 16:15:15,1375,10.6,29,24.17847,70.60113,203.24319
2025-06-17 16:15:15,1265,10.2,29,24.17847,70.60113,203.24319
2025-06-17 16:15:15,1265,10.2,29,24.17847,70.60113,203.24319
2025-06-17 16:15:19,1374,10.5,29,24.24862,70.80596,203.24323
2025-06-17 16:15:19,1234,9.5,29,24.24862,70.80596,203.24323
2025-06-17 16:15:19,1234,9.5,29,24.24862,70.80596,203.24323
2025-06-17 16:15:23,1024,7.9,29,24.05166,70.23084,203.24324
2025-06-17 16:15:23,1655,7.1,29,24.05166,70.23084,203.24324
2025-06-17 16:15:23,1655,7.2,29,24.05166,70.23084,203.24324
2025-06-17 16:15:27,1371,7.8,29,24.11371,70.41205,203.24327
2025-06-17 16:15:28,1668,7.1,29,24.6088,71.85771,203.24329
2025-06-17 16:15:28,1668,7.2,29,24.6088,71.85771,203.24329
2025-06-17 16:15:31,1294,6.2,29,24.10832,70.39629,203.2433
2025-06-17 16:15:32,1345,6.0,29,24.01928,70.13631,203.2433
2025-06-17 16:15:32,1345,6.0,29,24.01928,70.13631,203.2433
2025-06-17 16:15:36,1317,7.4,29,23.87764,69.7227,203.24333
2025-06-17 16:15:36,1404,6.8,29,23.87764,69.7227,203.24333
2025-06-17 16:15:36,1404,6.8,29,23.87764,69.7227,203.24333
2025-06-17 16:15:40,1385,6.6,29,24.16902,70.57355,203.24336
2025-06-17 16:15:40,1511,6.3,29,24.16902,70.57355,203.24336
2025-06-17 16:15:40,1511,6.3,29,24.16902,70.57355,203.24336
2025-06-17 16:15:44,1600,8.9,29,24.02198,70.14419,203.24339
2025-06-17 16:15:44,1408,8.9,29,24.02198,70.14419,203.24339
2025-06-17 16:15:44,1408,8.9,29,24.02198,70.14419,203.24339
2025-06-17 16:15:48,1505,8.7,29,24.49279,71.51894,203.24342
2025-06-17 16:15:49,1379,8.6,29,24.37138,71.16442,203.24342
2025-06-17 16:15:49,1379,8.6,29,24.37138,71.16442,203.24342
2025-06-17 16:15:53,1302,7.0,29,24.10427,70.38448,203.24345
2025-06-17 16:15:53,1411,7.1,29,24.10427,70.38448,203.24345
2025-06-17 16:15:53,1411,7.1,29,24.10427,70.38448,203.24345
2025-06-17 16:15:57,1307,7.1,29,24.15823,70.54204,203.24348
2025-06-17 16:15:57,1257,7.0,29,24.15823,70.54204,203.24348
2025-06-17 16:15:57,1257,6.9,29,24.15823,70.54204,203.24348
2025-06-17 16:16:01,1399,7.7,29,24.53731,71.64893,203.2435
2025-06-17 16:16:01,1395,7.6,29,24.53731,71.64893,203.2435
2025-06-17 16:16:01,1395,7.7,29,24.53731,71.64893,203.2435
2025-06-17 16:16:05,1552,8.8,29,24.32146,71.01867,203.24353
2025-06-17 16:16:05,1511,9.0,29,24.32146,71.01867,203.24353
2025-06-17 16:16:05,1511,9.0,29,24.32146,71.01867,203.24353
2025-06-17 16:16:10,1444,7.5,29,23.99095,70.05359,203.24356
2025-06-17 16:16:10,1368,7.5,29,23.99095,70.05359,203.24356
2025-06-17 16:16:10,1368,7.5,29,23.99095,70.05359,203.24356
2025-06-17 16:16:14,1579,6.5,29,23.97881,70.01814,203.24361
2025-06-17 16:16:14,1533,6.7,29,23.97881,70.01814,203.24361
2025-06-17 16:16:14,1533,6.7,29,23.97881,70.01814,203.24361
2025-06-17 16:16:18,1399,6.6,29,24.46581,71.44016,203.24362
2025-06-17 16:16:18,1404,6.8,29,24.46581,71.44016,203.24362
2025-06-17 16:16:18,1404,6.8,29,24.46581,71.44016,203.24362
2025-06-17 16:16:22,1509,6.5,29,24.32686,71.03443,203.24365
2025-06-17 16:16:22,1509,6.4,29,24.32686,71.03443,203.24365
2025-06-17 16:16:22,1509,6.4,29,24.32686,71.03443,203.24365
2025-06-17 16:16:27,1369,10.2,29,24.34575,71.08958,203.24368
2025-06-17 16:16:27,1369,10.3,29,24.34575,71.08958,203.24368
2025-06-17 16:16:27,1589,10.4,29,24.34575,71.08958,203.24368
2025-06-17 16:16:31,1404,6.7,29,24.31742,71.00685,203.24371
2025-06-17 16:16:31,1500,6.6,29,24.31742,71.00685,203.24371
2025-06-17 16:16:31,1500,6.6,29,24.31742,71.00685,203.24371
2025-06-17 16:16:35,1365,8.3,29,24.17712,70.59719,203.24374
2025-06-17 16:16:35,1365,8.3,29,24.17712,70.59719,203.24374
2025-06-17 16:16:35,1515,8.3,29,24.17712,70.59719,203.24374
2025-06-17 16:16:39,1495,7.8,29,25.38044,74.1109,203.24377
2025-06-17 16:16:39,1495,7.8,29,25.38044,74.1109,203.24377
2025-06-17 16:16:39,2231,7.8,29,25.38044,74.1109,203.24377
2025-06-17 16:16:43,1542,6.6,29,24.53865,71.65287,203.24379
2025-06-17 16:16:43,1600,6.5,29,24.53865,71.65287,203.24379
2025-06-17 16:16:43,1599,6.6,29,24.53865,71.65287,203.24379
2025-06-17 16:16:48,1593,6.6,29,25.00272,73.00794,203.24384
2025-06-17 16:16:48,1506,6.7,29,25.00272,73.00794,203.24384
