rank,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,predicted_energy
1,47,0.67,183,0.59,0.55,474,0,0,1800,8169.0845
2,47,0.67,183,0.59,0.55,473,0,0,1800,8171.8267
3,47,0.67,183,0.59,0.55,472,0,0,1800,8174.9854
4,47,0.67,183,0.59,0.55,471,0,0,1800,8178.0215
5,47,0.67,183,0.59,0.55,470,0,0,1800,8182.4731
