rank,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,predicted_energy
1,61,0.73,214,0.70,0.64,615,1,1,2200,7708.9014
2,61,0.73,214,0.70,0.64,617,1,1,2200,7708.9204
3,61,0.73,214,0.70,0.64,616,1,1,2200,7709.1567
4,61,0.73,214,0.70,0.64,614,1,1,2200,7709.1704
5,61,0.73,215,0.70,0.64,618,1,1,2200,7709.2007
