rank,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,predicted_energy
1,54,0.69,197,0.64,0.60,545,0,0,2000,4856.2852
2,54,0.69,197,0.64,0.60,544,0,0,2000,4856.7637
3,53,0.69,196,0.64,0.59,532,0,0,2000,4864.1104
4,53,0.69,196,0.64,0.59,533,0,0,2000,4868.2407
5,53,0.69,196,0.64,0.59,534,0,0,2000,4872.2227
