param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,run_time,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90
30,0.9,200,0.45,0.7,930,TRUE,FALSE,800,250,54,7,6,6,11,5,5,5,9,63,4,2,0,2,2,4,2,2,1,10,9,2,1,0,2,1,1,0,2,7,4,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
60,0.7,230,0.36,0.3,520,TRUE,TRUE,800,254,45,8,2,11,11,3,3,6,8,77,5,0,0,2,5,1,1,3,3,13,5,4,1,1,0,3,0,1,4,6,4,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
40,0.6,120,0.68,0.6,460,FALSE,TRUE,800,252,40,6,6,11,14,4,4,1,12,62,11,1,1,0,5,5,2,2,3,8,8,3,1,1,1,1,0,1,4,7,2,1,0,0,3,0,0,1,1,4,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
90,0.9,110,0.9,0.4,700,TRUE,TRUE,800,248,46,4,2,11,9,4,3,5,10,66,11,3,5,2,6,1,0,2,5,4,7,4,1,1,2,0,0,1,1,5,3,0,0,0,0,0,0,1,0,4,3,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
10,0.8,140,0.86,0.3,200,TRUE,FALSE,800,244,50,5,6,4,9,7,4,3,4,69,13,3,4,2,4,3,1,4,2,5,1,2,0,2,1,1,2,1,2,9,1,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
40,0.8,150,0.45,0.3,150,FALSE,TRUE,800,251,35,9,4,9,17,9,4,4,9,72,5,3,2,2,4,2,3,3,3,9,4,1,1,0,0,2,0,2,2,7,1,0,1,0,0,0,0,0,1,5,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
10,0.6,250,0.57,0.8,780,FALSE,TRUE,800,248,53,4,4,8,9,5,2,5,8,68,7,3,1,3,2,4,1,1,1,9,8,4,0,2,3,1,1,1,2,5,1,0,0,0,1,0,0,0,3,2,2,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
60,0.9,220,0.49,0.9,880,FALSE,TRUE,800,256,49,7,2,9,14,4,8,5,6,68,8,5,0,2,6,3,1,0,2,8,9,1,1,0,3,0,2,2,2,5,1,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
10,0.8,230,0.68,0.5,800,FALSE,FALSE,800,239,41,4,5,9,15,3,3,8,10,67,9,1,4,2,4,1,1,3,3,4,6,3,1,0,1,1,0,3,1,5,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
80,0.7,250,0.81,0.6,1000,TRUE,FALSE,800,246,41,7,5,6,11,7,1,7,10,65,13,2,0,4,2,7,0,2,2,9,4,2,0,1,1,0,1,1,1,3,2,0,0,0,0,0,1,0,1,6,2,0,0,1,0,1,0,1,1,0,3,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
