task,node,requested_node,parameter,label,baseline_value,optimized_value,delta,shapley_energy_reduction,baseline_energy,optimized_energy,total_predicted_reduction,reported_initial_energy,reported_optimized_energy,baseline_energy_percentile,optimized_energy_percentile,candidate_median_energy,candidate_best_energy
PiEstimator,master,slave1,param_7,Native Task,0.0,1.0,1.0,288.3226369516924,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
PiEstimator,master,slave1,param_8,Compress Output,1.0,1.0,0.0,0.0,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
PiEstimator,master,slave1,cpu_frequency,CPU Frequency,1500.0,3200.0,1700.0,-74.43505925266072,4034.96240234375,2966.350341796875,1068.612060546875,8210.2871,6664.6245,100.0,40.963855421686745,3164.287841796875,584.00439453125
PageRank,master,master,param_1,Map Task Slots,60.0,61.0,1.0,-0.012409901250236999,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
PageRank,master,master,param_2,Reduce Slowstart,0.699999988079071,0.73,0.030000011920928937,-0.3303792296260326,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
PageRank,master,master,param_3,Sort Buffer,230.0,214.0,-16.0,0.9255411807025666,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
PageRank,master,master,param_4,Spill Percent,0.3499999940395355,0.7,0.35000000596046443,-2.4346140921115875,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
PageRank,master,master,param_5,Merge Factor,0.4000000059604645,0.64,0.23999999403953554,-3.0170925830025226,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
PageRank,master,master,param_6,JVM Heap,420.0,615.0,195.0,0.9174193991202628,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
PageRank,master,master,param_7,Native Task,0.0,1.0,1.0,-8.267318410798907,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
PageRank,master,master,param_8,Compress Output,1.0,1.0,0.0,8.719308652871405e-06,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
PageRank,master,master,cpu_frequency,CPU Frequency,3200.0,2200.0,-1000.0,3230.783413887024,7926.513671875,4707.94921875,3218.564453125,9306.624,7709.0391,100.0,58.93333333333334,4061.6640625,612.1115112304688
Sort,slave1,slave1,param_1,Map Task Slots,100.0,54.0,-46.0,-358.51298353727907,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Sort,slave1,slave1,param_2,Reduce Slowstart,0.5,0.69,0.18999999999999995,1020.9804125936935,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Sort,slave1,slave1,param_3,Sort Buffer,270.0,197.0,-73.0,-1008.5092761851847,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Sort,slave1,slave1,param_4,Spill Percent,0.6200000047683716,0.64,0.01999999523162843,108.61952969890262,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Sort,slave1,slave1,param_5,Merge Factor,0.5,0.6,0.09999999999999998,-23.08534212113591,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Sort,slave1,slave1,param_6,JVM Heap,390.0,545.0,155.0,-64.39736365851422,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Sort,slave1,slave1,param_7,Native Task,1.0,0.0,-1.0,-811.453930137679,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Sort,slave1,slave1,param_8,Compress Output,1.0,0.0,-1.0,1460.0621034819633,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Sort,slave1,slave1,cpu_frequency,CPU Frequency,1700.0,2000.0,300.0,-498.6005956046283,7017.4677734375,7192.365234375,-174.8974609375,7018.7144,4863.5249,67.84523015343562,70.11340893929287,5068.5029296875,1391.375244140625
Grep,slave1,slave1,param_1,Map Task Slots,30.0,53.0,23.0,15.594913974404335,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
Grep,slave1,slave1,param_2,Reduce Slowstart,0.8999999761581421,0.69,-0.20999997615814214,-8.17240134300664,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
Grep,slave1,slave1,param_3,Sort Buffer,200.0,197.0,-3.0,2.112974005518481,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
Grep,slave1,slave1,param_4,Spill Percent,0.46000000834465027,0.64,0.17999999165534974,-45.38897286262363,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
Grep,slave1,slave1,param_5,Merge Factor,0.5,0.6,0.09999999999999998,-14.134966404177248,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
Grep,slave1,slave1,param_6,JVM Heap,750.0,550.0,-200.0,34.39763486944139,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
Grep,slave1,slave1,param_7,Native Task,1.0,1.0,0.0,3.100198455285863e-06,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
Grep,slave1,slave1,param_8,Compress Output,1.0,1.0,0.0,8.913070814742241e-06,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
Grep,slave1,slave1,cpu_frequency,CPU Frequency,2000.0,2000.0,0.0,-1.5500992276429315e-05,8154.4072265625,8169.998046875,-15.5908203125,8084.0796,7169.083,63.26530612244898,63.26530612244898,7306.44287109375,952.9322509765625
NNBench,slave1,slave1,param_1,Map Task Slots,30.0,58.0,28.0,61.71895074076019,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
NNBench,slave1,slave1,param_2,Reduce Slowstart,0.800000011920929,0.71,-0.09000001192092899,315.24511520564556,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
NNBench,slave1,slave1,param_3,Sort Buffer,120.0,204.0,84.0,61.499151051044464,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
NNBench,slave1,slave1,param_4,Spill Percent,1.0,0.66,-0.33999999999999997,383.96448814868927,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
NNBench,slave1,slave1,param_5,Merge Factor,0.699999988079071,0.6,-0.09999998807907107,416.8336909711361,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
NNBench,slave1,slave1,param_6,JVM Heap,230.0,553.0,323.0,339.9154503643513,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
NNBench,slave1,slave1,param_7,Native Task,0.0,1.0,1.0,-703.546960413456,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
NNBench,slave1,slave1,param_8,Compress Output,0.0,0.0,0.0,0.0,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
NNBench,slave1,slave1,cpu_frequency,CPU Frequency,2000.0,2000.0,0.0,0.0,13396.806640625,12521.1767578125,875.6298828125,12426.8428,8631.0029,27.083333333333332,25.0,17687.078125,1075.1787109375
