time,cpu_freq,hadoop_idx,cpu_idle,sda_idle
20260312110240,800,0,0.7692,0.0063
20260312110241,800,0,0.7692,0.0063
20260312110242,800,0,0.7692,0.0063
20260312110243,800,0,0.7692,0.0063
20260312110244,800,0,0.7692,0.0063
20260312110245,800,0,0.7692,0.0063
20260312110246,800,0,0.7692,0.0063
20260312110247,800,0,0.7692,0.0063
20260312110248,800,0,0.7692,0.0063
20260312110249,800,0,0.7692,0.0063
20260312110250,800,0,0.7692,0.0063
20260312110251,800,0,0.7692,0.0063
20260312110252,800,0,0.7692,0.0063
20260312110253,800,0,0.7692,0.0063
20260312110254,800,0,0.7692,0.0063
20260312110255,800,0,0.7692,0.0063
20260312110256,800,0,0.7692,0.0063
20260312110258,800,0,0.7692,0.0063
20260312110259,800,0,0.7692,0.0063
20260312110300,800,0,0.7692,0.0063
20260312110301,800,0,0.7692,0.0063
20260312110302,800,0,0.7692,0.0063
20260312110303,800,0,0.7692,0.0063
20260312110304,800,0,0.7692,0.0063
20260312110305,800,0,0.7692,0.0063
20260312110306,800,0,0.7692,0.0063
20260312110307,800,0,0.7692,0.0063
20260312110308,800,0,0.7692,0.0063
20260312110309,800,0,0.7692,0.0063
20260312110310,800,0,0.7692,0.0063
20260312110311,800,0,0.7692,0.0063
20260312110312,800,0,0.7692,0.0063
20260312110313,800,0,0.7692,0.0063
20260312110314,800,0,0.7692,0.0063
20260312110315,800,0,0.7692,0.0063
20260312110316,800,0,0.7692,0.0063
20260312110317,800,0,0.7692,0.0063
20260312110318,800,0,0.7692,0.0063
20260312110319,800,0,0.7692,0.0063
20260312110320,800,0,0.7692,0.0063
20260312110321,800,0,0.7692,0.0063
20260312110322,800,0,0.7692,0.0063
20260312110323,800,0,0.7692,0.0063
20260312110324,800,0,0.7692,0.0063
20260312110325,800,0,0.7692,0.0063
20260312110326,800,0,0.7692,0.0063
20260312110327,800,0,0.7692,0.0063
20260312110328,800,0,0.7692,0.0063
20260312110329,800,0,0.7692,0.0063
20260312110330,800,0,0.7692,0.0063
20260312110331,800,0,0.7692,0.0063
20260312110332,800,0,0.7692,0.0063
20260312110333,800,0,0.7692,0.0063
20260312110334,800,0,0.7692,0.0063
20260312110335,800,0,0.7692,0.0063
20260312110336,800,0,0.7692,0.0063
20260312110337,800,0,0.7692,0.0063
20260312110338,800,0,0.7692,0.0063
20260312110339,800,0,0.7692,0.0063
20260312110340,800,0,0.7692,0.0063
20260312110341,800,0,0.7691,0.0063
20260312110342,800,0,0.7691,0.0063
20260312110343,800,0,0.7691,0.0063
20260312110344,800,0,0.7691,0.0063
20260312110345,800,0,0.7691,0.0063
20260312110346,800,0,0.7691,0.0063
20260312110347,800,0,0.7691,0.0063
20260312110348,800,0,0.7691,0.0063
20260312110349,800,0,0.7691,0.0063
20260312110350,800,0,0.7691,0.0063
20260312110351,800,0,0.7691,0.0063
20260312110352,800,0,0.7691,0.0063
20260312110353,800,0,0.7691,0.0063
20260312110354,800,0,0.7691,0.0063
20260312110355,800,0,0.7691,0.0063
20260312110356,800,0,0.7691,0.0063
20260312110357,800,0,0.7691,0.0063
20260312110358,800,0,0.7691,0.0063
20260312110359,800,0,0.7691,0.0063
20260312110401,800,0,0.7691,0.0063
20260312110402,800,1,0.7691,0.0063
20260312110403,800,1,0.7691,0.0063
20260312110404,800,1,0.7691,0.0063
20260312110405,800,1,0.7691,0.0063
20260312110406,800,1,0.7691,0.0063
20260312110407,800,1,0.7691,0.0063
20260312110408,800,1,0.7691,0.0063
20260312110409,800,1,0.7691,0.0063
20260312110410,800,1,0.7691,0.0063
20260312110411,800,1,0.7691,0.0063
20260312110412,800,1,0.7691,0.0063
20260312110413,800,1,0.7691,0.0063
20260312110414,800,1,0.7691,0.0063
20260312110415,800,1,0.7691,0.0063
20260312110416,800,1,0.7691,0.0063
