time,cpu_frequency,cpu_usage,sda_usage
20241107225234,800,0.8995,0.108
20241107225349,800,0.9874,0.0
20241107225810,800,0.8321,0.076
20241107225925,800,0.9849,0.004
20241107230337,800,0.8579,0.06
20241107230452,800,0.9824,0.0
20241107230913,800,0.8431,0.084
20241107231028,800,0.9849,0.0
20241107231445,800,0.9675,0.0
20241107231601,800,0.9646,0.22
20241107232018,800,0.9899,0.0
20241107232133,800,0.9799,0.028
20241107232557,800,0.9874,0.004
20241107232712,800,0.9623,0.024
20241107233131,800,0.9398,0.0
20241107233246,800,0.9749,0.036
20241107233653,800,0.9874,0.0
20241107233809,800,0.9899,0.004
20241107234220,800,0.9924,0.0
20241107234335,800,0.9924,0.0
20241107234747,800,0.9323,0.0
20241107234902,800,0.9799,0.024
20241107235318,800,0.9874,0.0
20241107235433,800,0.9874,0.0
20241107235846,800,0.9849,0.0
20241108000001,800,0.965,0.06
20241108000409,800,0.9924,0.0
20241108000524,800,0.9899,0.0
20241108000932,800,0.9121,0.076
20241108001047,800,0.985,0.0
20241108001455,800,0.9574,0.0
20241108001610,800,0.9773,0.028
20241108002023,800,0.9824,0.036
20241108002138,800,0.9497,0.188
20241108002551,800,0.9849,0.0
20241108002706,800,0.9899,0.0
20241108003127,800,0.9495,0.0
20241108003248,1000,0.9874,0.0
20241108003648,1000,0.9899,0.0
20241108003803,1000,0.9924,0.0
20241108004205,1000,0.9776,0.0
20241108004320,1000,0.9825,0.0
20241108004716,1000,0.8408,0.096
20241108004830,1000,0.98,0.0
20241108005229,1000,0.9547,0.004
20241108005344,1000,0.9899,0.0
20241108005745,1000,0.9478,0.0
20241108005900,1000,0.9825,0.004
20241108010302,1000,0.8367,0.08
20241108010416,1000,0.985,0.0
20241108010816,1000,0.8536,0.072
20241108010930,1000,0.9899,0.0
20241108011335,1000,0.8593,0.076
20241108011449,1000,0.9673,0.116
20241108011847,1000,0.9198,0.052
20241108012001,1000,0.985,0.0
20241108012406,1000,0.9629,0.0
20241108012521,1000,0.9899,0.0
20241108012921,1000,0.861,0.072
20241108013035,1000,0.9824,0.032
20241108013427,1000,0.8469,0.088
20241108013541,1000,0.9899,0.004
20241108013943,1000,0.9949,0.0
20241108014057,1000,0.9899,0.0
20241108014455,1000,0.9873,0.032
20241108014609,1000,0.9899,0.0
20241108015012,1000,0.9924,0.0
20241108015126,1000,0.9875,0.0
20241108015521,1000,0.9524,0.008
20241108015636,1000,0.9924,0.0
20241108020031,1000,0.9874,0.0
20241108020146,1000,0.9924,0.008
20241108020537,1000,0.9899,0.0
20241108020651,1000,0.9899,0.0
20241108021050,1000,0.985,0.0
20241108021205,1000,0.9874,0.0
20241108021606,1000,0.9774,0.036
20241108021721,1000,0.9899,0.0
20241108022120,1000,0.9924,0.004
20241108022234,1000,0.9924,0.0
20241108022629,1000,0.9672,0.0
20241108022744,1000,0.985,0.0
20241108023143,1000,0.9747,0.0
20241108023258,1000,0.985,0.004
20241108023650,1000,0.9799,0.028
20241108023804,1000,0.9825,0.0
20241108024206,1000,0.9849,0.028
20241108024321,1000,0.9949,0.0
20241108024717,1000,0.9899,0.0
20241108024832,1000,0.9924,0.0
20241108025226,1000,0.9899,0.0
20241108025341,1000,0.9874,0.0
20241108025739,1000,0.8731,0.048
20241108025853,1000,0.9899,0.0
20241108030251,1000,0.9899,0.0
20241108030406,1000,0.985,0.0
20241108030808,1000,0.9573,0.032
20241108030923,1000,0.9924,0.0
20241108031323,1000,0.9849,0.0
20241108031438,1000,0.9924,0.0
20241108031835,1000,0.9825,0.0
20241108031950,1000,0.9975,0.0
20241108032354,1000,0.9673,0.0
20241108032509,1000,0.9899,0.0
20241108032908,1000,0.9098,0.048
20241108033022,1000,0.9874,0.0
20241108033424,1000,0.8615,0.08
20241108033538,1000,0.9874,0.004
20241108033934,1000,0.8407,0.072
20241108034048,1000,0.9874,0.0
20241108034455,1000,0.8159,0.088
20241108034609,1000,0.9899,0.008
20241108035011,1000,0.7653,0.052
20241108035125,1000,0.9924,0.0
20241108035530,1000,0.9924,0.0
20241108035644,1000,0.985,0.0
20241108040040,1000,0.9949,0.0
