time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20241107203449,800,0.9254,0.008,23.44924,20241107203446
20241107203604,800,0.9252,0.0,30.26034,20241107203606
20241107204025,800,0.8354,0.02,23.53877,20241107204027
20241107204140,800,0.8725,0.004,28.75096,20241107204148
20241107204549,800,0.87,0.012,23.55696,20241107204549
20241107204704,800,0.9198,0.0,25.01038,20241107204705
20241107205120,800,0.8489,0.02,24.26479,20241107205127
20241107205234,800,0.9721,0.008,30.50794,20241107205237
20241107205652,800,0.7506,0.02,24.03677,20241107205659
20241107205807,800,0.9318,0.004,23.20164,20241107205805
20241107210221,800,0.907,0.016,24.87609,20241107210226
20241107210336,800,0.9421,0.0,23.49821,20241107210337
20241107210751,800,0.7469,0.02,24.33613,20241107210758
20241107210906,800,0.7845,0.012,30.58348,20241107210908
20241107211319,800,0.9048,0.012,23.60312,20241107211315
20241107211434,800,0.8911,0.0,30.40023,20241107211436
20241107211838,800,0.905,0.016,24.14868,20241107211838
20241107211953,800,0.9352,0.0,22.98762,20241107211954
20241107212414,800,0.9271,0.012,23.31355,20241107212417
20241107212529,800,0.9544,0.0,23.16248,20241107212527
20241107212941,800,0.9372,0.012,28.25576,20241107212949
20241107213056,800,0.9144,0.012,23.03098,20241107213055
20241107213508,800,0.7427,0.02,23.40868,20241107213507
20241107213623,800,0.7366,0.008,27.86408,20241107213627
20241107214036,800,0.8784,0.012,22.96244,20241107214039
20241107214151,800,0.9173,0.004,28.4544,20241107214155
20241107214611,800,0.8819,0.028,25.04955,20241107214616
20241107214726,800,0.6845,0.016,23.6297,20241107214726
20241107215145,800,0.782,0.016,23.05476,20241107215148
20241107215300,800,0.7244,0.012,31.94458,20241107215309
20241107215714,800,0.9167,0.008,25.39227,20241107215717
20241107215829,800,0.93,0.004,23.06176,20241107215827
20241107220252,800,0.7488,0.04,25.1097,20241107220259
20241107220407,800,0.6463,0.012,29.34967,20241107220409
20241107220829,800,0.6866,0.032,23.96263,20241107220825
20241107220943,800,0.9471,0.004,28.07391,20241107220946
20241107221403,800,0.904,0.02,22.84913,20241107221408
20241107221518,800,0.9472,0.012,23.19885,20241107221518
20241107221932,800,0.7935,0.024,24.16966,20241107221939
20241107222047,800,0.7617,0.008,30.63524,20241107222049
20241107222506,800,0.7239,0.0,23.52618,20241107222506
20241107222621,800,0.9136,0.008,28.55372,20241107222626
20241107223034,800,0.9673,0.008,23.2618,20241107223038
20241107223149,800,0.9422,0.004,23.07015,20241107223148
20241107223557,800,0.9523,0.004,26.41205,20241107223559
20241107223712,800,0.9796,0.008,29.27414,20241107223715
20241107224126,800,0.9649,0.004,24.43265,20241107224127
20241107224242,800,0.9214,0.0,26.51697,20241107224247
20241107224700,800,0.9695,0.008,22.93866,20241107224705
20241107224816,800,0.8732,0.0,23.06596,20241107224815
20241107225234,800,0.8832,0.028,22.93726,20241107225236
20241107225349,800,0.9421,0.0,22.97503,20241107225348
20241107225810,800,0.9345,0.016,27.88086,20241107225819
20241107225925,800,0.9525,0.0,31.31229,20241107225929
20241107230337,800,0.9401,0.012,24.51239,20241107230336
20241107230452,800,0.9495,0.0,26.92404,20241107230457
20241107230913,800,0.949,0.016,23.02539,20241107230919
20241107231028,800,0.9797,0.004,23.68565,20241107231029
20241107231445,800,0.9443,0.02,23.83393,20241107231446
20241107231601,800,0.9298,0.004,31.2941,20241107231607
20241107232018,800,0.9246,0.016,23.90947,20241107232018
20241107232133,800,0.88,0.0,29.4476,20241107232139
20241107232557,800,0.9626,0.008,23.7472,20241107232555
20241107232712,800,0.9624,0.008,29.23217,20241107232716
20241107233131,800,0.8998,0.012,23.67726,20241107233137
20241107233246,800,0.9121,0.004,24.81034,20241107233247
20241107233653,800,0.8897,0.016,23.17787,20241107233658
20241107233809,800,0.8035,0.008,22.90368,20241107233809
20241107234220,800,0.8437,0.012,22.99181,20241107234225
20241107234335,800,0.9116,0.012,23.08134,20241107234335
20241107234747,800,0.9322,0.012,23.3877,20241107234747
20241107234902,800,0.8125,0.008,31.04091,20241107234908
20241107235318,800,0.8291,0.02,23.40308,20241107235315
20241107235433,800,0.9167,0.0,28.36627,20241107235435
20241107235846,800,0.7617,0.016,25.53076,20241107235848
20241108000001,800,0.8628,0.008,30.42401,20241108000008
20241108000409,800,0.8575,0.016,23.95843,20241108000406
20241108000524,800,0.9223,0.008,27.76476,20241108000526
20241108000932,800,0.6749,0.016,23.65068,20241108000937
20241108001047,800,0.8247,0.008,23.3835,20241108001048
20241108001455,800,0.8329,0.012,22.94425,20241108001459
20241108001610,800,0.7519,0.012,28.14245,20241108001614
20241108002023,800,0.8504,0.012,23.19325,20241108002026
20241108002138,800,0.9318,0.004,23.45064,20241108002136
20241108002551,800,0.701,0.024,25.00199,20241108002558
20241108002706,800,0.9372,0.004,30.84367,20241108002708
20241108003127,800,0.7873,0.032,23.10932,20241108003129
20241108003248,1000,0.9118,0.008,23.0142,20241108003245
20241108003648,1000,0.8417,0.02,24.07174,20241108003646
20241108003803,1000,0.6381,0.008,31.07308,20241108003806
20241108004205,1000,0.7904,0.032,23.7542,20241108004208
20241108004320,1000,0.6675,0.012,32.08587,20241108004328
20241108004716,1000,0.6952,0.008,24.61031,20241108004719
20241108004830,1000,0.8296,0.008,31.75293,20241108004839
20241108005229,1000,0.9148,0.012,23.83673,20241108005225
20241108005344,1000,0.8787,0.004,24.84811,20241108005345
20241108005745,1000,0.8609,0.016,25.6091,20241108005747
20241108005900,1000,0.6988,0.008,27.55213,20241108005908
20241108010302,1000,0.6364,0.024,24.74879,20241108010309
20241108010416,1000,0.6892,0.012,29.06571,20241108010419
20241108010816,1000,0.9593,0.016,23.97802,20241108010815
20241108010930,1000,0.9772,0.0,30.99335,20241108010937
20241108011335,1000,0.9086,0.016,23.41987,20241108011337
20241108011449,1000,0.9621,0.004,23.17926,20241108011448
20241108011847,1000,0.9747,0.016,35.06685,20241108011845
20241108012001,1000,0.9772,0.004,30.57368,20241108012005
20241108012406,1000,0.967,0.016,23.41987,20241108012406
20241108012521,1000,0.9468,0.0,26.88487,20241108012526
20241108012921,1000,0.9422,0.02,23.10233,20241108012927
20241108013035,1000,0.9698,0.0,30.51074,20241108013037
20241108013427,1000,0.9419,0.016,26.43723,20241108013428
20241108013541,1000,0.9401,0.0,27.81232,20241108013548
20241108013943,1000,0.9542,0.024,24.497,20241108013945
20241108014057,1000,0.9675,0.0,23.07295,20241108014055
20241108014455,1000,0.892,0.008,27.46819,20241108014456
20241108014609,1000,0.9847,0.008,23.0142,20241108014606
20241108015012,1000,0.9169,0.012,24.81734,20241108015018
20241108015126,1000,0.9492,0.0,30.3079,20241108015128
20241108015521,1000,0.9471,0.012,25.70562,20241108015529
20241108015636,1000,0.9127,0.004,23.14989,20241108015635
20241108020031,1000,0.9471,0.012,24.50259,20241108020036
20241108020146,1000,0.8337,0.012,23.06176,20241108020146
20241108020537,1000,0.952,0.016,23.32195,20241108020537
20241108020651,1000,0.9674,0.0,26.57152,20241108020657
20241108021050,1000,0.8558,0.012,26.9688,20241108021058
20241108021205,1000,0.865,0.008,28.51735,20241108021208
20241108021606,1000,0.937,0.008,25.22441,20241108021609
20241108021721,1000,0.898,0.012,27.32411,20241108021729
20241108022120,1000,0.7925,0.032,23.3793,20241108022126
20241108022234,1000,0.9495,0.004,28.62086,20241108022236
20241108022629,1000,0.9447,0.012,24.62709,20241108022627
20241108022744,1000,0.8797,0.004,31.25493,20241108022748
20241108023143,1000,0.9519,0.016,23.30376,20241108023149
20241108023258,1000,0.8247,0.012,24.70123,20241108023259
20241108023650,1000,0.8367,0.016,23.07015,20241108023655
20241108023804,1000,0.9146,0.008,23.40168,20241108023805
20241108024206,1000,0.9121,0.032,25.25518,20241108024206
20241108024321,1000,0.7241,0.008,27.28215,20241108024326
20241108024717,1000,0.798,0.016,24.94604,20241108024717
20241108024832,1000,0.7537,0.012,29.57349,20241108024837
20241108025226,1000,0.9082,0.008,24.56974,20241108025229
20241108025341,1000,0.8922,0.008,31.95297,20241108025349
20241108025739,1000,0.6366,0.012,24.28157,20241108025736
20241108025853,1000,0.8753,0.004,30.1778,20241108025856
20241108030251,1000,0.9218,0.016,23.24501,20241108030258
20241108030406,1000,0.6651,0.008,30.07429,20241108030408
20241108030808,1000,0.6894,0.048,30.77093,20241108030809
20241108030923,1000,0.9116,0.0,31.00034,20241108030929
20241108031323,1000,0.7975,0.016,23.2632,20241108031326
20241108031438,1000,0.6123,0.016,23.08414,20241108031436
20241108031835,1000,0.8413,0.02,23.6269,20241108031837
20241108031950,1000,0.708,0.008,26.9632,20241108031957
20241108032354,1000,0.9444,0.012,24.58373,20241108032358
20241108032509,1000,0.7174,0.012,23.22543,20241108032508
20241108032908,1000,0.7556,0.02,27.04154,20241108032909
20241108033022,1000,0.893,0.004,30.96397,20241108033025
20241108033424,1000,0.7563,0.016,25.12509,20241108033426
20241108033538,1000,0.9444,0.004,23.06036,20241108033536
20241108033934,1000,0.7266,0.012,24.92645,20241108033937
20241108034048,1000,0.7952,0.024,23.07575,20241108034048
20241108034609,1000,0.9647,0.0,23.10512,20241108034609
20241108035011,1000,0.9322,0.016,23.18346,20241108035015
20241108035125,1000,0.9698,0.004,22.8883,20241108035126
20241108035530,1000,0.9248,0.02,23.95004,20241108035537
20241108035644,1000,0.9748,0.0,30.67021,20241108035648
20241108040040,1000,0.8826,0.012,26.41765,20241108040049
20241108040154,1000,0.9466,0.004,22.94565,20241108040154
20241108040551,1000,0.9594,0.008,23.19045,20241108040556
20241108040705,1000,0.9747,0.0,23.48841,20241108040706
20241108041103,1000,0.9497,0.012,23.1303,20241108041108
20241108041217,1000,0.9695,0.0,30.61146,20241108041219
20241108041619,1000,0.8841,0.012,34.71014,20241108041616
20241108041733,1000,0.9747,0.0,28.25016,20241108041736
20241108042128,1000,0.9698,0.004,23.14149,20241108042128
20241108042243,1000,0.9416,0.004,27.10169,20241108042248
20241108042644,1000,0.9248,0.012,23.17087,20241108042649
20241108042758,1000,0.9346,0.0,23.44225,20241108042759
20241108043149,1000,0.8633,0.016,24.14029,20241108043145
20241108043304,1000,0.8747,0.004,26.64007,20241108043305
20241108043658,1000,0.8401,0.04,34.95774,20241108043656
20241108043812,1000,0.952,0.0,30.7975,20241108043816
20241108044212,1000,0.9698,0.004,23.5024,20241108044217
20241108044327,1000,0.9418,0.004,23.17367,20241108044327
20241108044729,1000,0.7525,0.024,23.7514,20241108044728
20241108044843,1000,0.952,0.008,29.40563,20241108044848
20241108045245,1000,0.8803,0.02,23.46463,20241108045245
20241108045400,1000,0.9515,0.0,28.25156,20241108045405
20241108045758,1000,0.9223,0.016,23.69545,20241108045758
20241108045913,1000,0.9123,0.012,27.80952,20241108045918
20241108050311,1000,0.8521,0.016,29.50635,20241108050319
20241108050426,1000,0.8213,0.012,23.0058,20241108050425
20241108050824,1000,0.771,0.028,24.49,20241108050826
20241108050939,1000,0.8359,0.016,23.21284,20241108050936
20241108051341,1000,0.9401,0.012,24.81594,20241108051347
20241108051455,1000,0.9671,0.0,28.84049,20241108051458
20241108051855,1000,0.7338,0.02,24.93764,20241108051859
20241108052009,1000,0.9154,0.012,23.20724,20241108052005
20241108052404,1000,0.8719,0.028,23.77798,20241108052406
20241108052519,1000,0.6757,0.008,23.15968,20241108052517
20241108052925,1000,0.9446,0.008,23.16108,20241108052928
20241108053039,1000,0.957,0.0,23.10792,20241108053039
20241108053434,1000,0.8,0.016,26.68203,20241108053436
20241108053548,1000,0.9373,0.0,23.20304,20241108053546
20241108053948,1000,0.735,0.008,23.94444,20241108053948
20241108054102,1000,0.6595,0.008,29.62665,20241108054109
20241108054454,1000,0.8144,0.04,23.93325,20241108054455
20241108054608,1000,0.9298,0.004,23.2604,20241108054605
20241108055004,1000,0.7537,0.008,24.84951,20241108055007
20241108055118,1000,0.7761,0.008,23.39749,20241108055118
20241108055510,1000,0.6782,0.016,23.60312,20241108055519
20241108055624,1000,0.9521,0.004,27.02895,20241108055629
20241108060021,1000,0.8492,0.032,23.20164,20241108060026
20241108060136,1000,0.7286,0.012,23.68845,20241108060136
20241108060531,1000,0.745,0.016,23.10932,20241108060537
20241108060645,1000,0.8878,0.004,30.60586,20241108060647
20241108061046,1000,0.7002,0.008,24.55575,20241108061049
20241108061200,1000,0.8065,0.012,30.82408,20241108061205
20241108061610,1000,0.7543,0.016,23.04218,20241108061615
20241108061725,1000,0.6559,0.008,27.85988,20241108061726
20241108062122,1000,0.5657,0.028,24.10531,20241108062129
20241108062237,1000,0.6307,0.012,29.52314,20241108062239
20241108062635,1000,0.9747,0.0,23.33594,20241108062636
20241108062750,1000,0.95,0.0,31.33887,20241108062756
20241108063145,1000,0.9211,0.008,23.78497,20241108063146
20241108063300,1000,0.9494,0.0,31.31369,20241108063307
20241108063656,1000,0.9621,0.008,27.42343,20241108063657
20241108063811,1000,0.9392,0.0,28.62926,20241108063818
20241108064210,1000,0.8905,0.016,30.59467,20241108064218
20241108064324,1000,0.9447,0.004,30.16941,20241108064328
20241108064724,1000,0.9146,0.016,23.45904,20241108064725
20241108064838,1000,0.9797,0.004,23.04078,20241108064835
20241108065231,1000,0.9196,0.016,23.07854,20241108065237
20241108065346,1000,0.8613,0.0,27.81092,20241108065347
20241108065747,1000,0.9401,0.024,26.12528,20241108065749
20241108065901,1000,0.9556,0.0,31.1724,20241108065905
20241108070258,1000,0.9796,0.012,23.75979,20241108070256
20241108070413,1000,0.9378,0.0,30.22816,20241108070416
20241108070814,1000,0.9446,0.008,23.14709,20241108070818
20241108070928,1000,0.9699,0.0,23.01839,20241108070928
20241108071323,1000,0.908,0.0158,23.17227,20241108071329
20241108071437,1000,0.9797,0.0,28.51735,20241108071439
20241108071836,1000,0.9102,0.012,25.25379,20241108071835
20241108071950,1000,0.9495,0.0,28.33549,20241108071955
20241108072349,1000,0.8998,0.008,24.08573,20241108072346
20241108072503,1000,0.9748,0.0,29.26435,20241108072507
20241108072902,1000,0.9442,0.012,24.1277,20241108072907
20241108073016,1000,0.9674,0.004,27.44162,20241108073017
20241108073413,1000,0.7264,0.02,23.19465,20241108073418
20241108073527,1000,0.9671,0.0,27.37028,20241108073528
20241108073932,1000,0.7731,0.02,24.20044,20241108073939
20241108074046,1000,0.9447,0.004,31.25074,20241108074049
20241108074447,1000,0.8719,0.016,32.26772,20241108074445
20241108074602,1000,0.8519,0.004,31.51093,20241108074605
20241108074957,1000,0.9322,0.012,24.55155,20241108074956
20241108075112,1000,0.9468,0.004,31.15142,20241108075116
20241108075515,1000,0.9173,0.012,26.5939,20241108075517
20241108075629,1000,0.9697,0.0,23.10093,20241108075627
20241108080026,1000,0.9618,0.008,26.32392,20241108080028
20241108080141,1000,0.93,0.012,31.07029,20241108080148
20241108080540,1000,0.823,0.024,30.48136,20241108080549
20241108080655,1000,0.8731,0.004,28.85028,20241108080659
20241108081051,1000,0.7475,0.02,23.20724,20241108081057
20241108081205,1000,0.885,0.008,28.19281,20241108081207
20241108081605,1000,0.7295,0.008,24.83972,20241108081609
20241108081719,1000,0.9062,0.0,22.96524,20241108081719
20241108082122,1000,0.7082,0.02,23.36251,20241108082126
20241108082237,1000,0.81,0.012,23.07435,20241108082236
20241108082636,1000,0.7351,0.02,27.10169,20241108082638
20241108082750,1000,0.9038,0.004,30.04771,20241108082759
20241108083148,1000,0.7228,0.012,23.84792,20241108083145
20241108083302,1000,0.9259,0.0,30.84786,20241108083305
20241108083703,1000,0.8625,0.016,25.06774,20241108083706
20241108083818,1000,0.6691,0.008,23.23662,20241108083816
20241108084212,1000,0.7132,0.028,23.22822,20241108084217
20241108084326,1000,0.9215,0.004,24.9838,20241108084327
20241108084729,1000,0.9073,0.016,25.22581,20241108084728
20241108084844,1000,0.8279,0.012,30.56809,20241108084848
20241108085250,1000,0.735,0.012,23.26599,20241108085255
20241108085405,1000,0.6683,0.012,23.72202,20241108085405
20241108085759,1000,0.809,0.024,34.86541,20241108085756
20241108085914,1000,0.8536,0.004,30.94439,20241108085916
20241108090309,1000,0.7569,0.004,23.32195,20241108090307
20241108090424,1000,0.5902,0.008,31.16541,20241108090427
20241108090819,1000,0.7556,0.02,23.36391,20241108090819
20241108090933,1000,0.9073,0.004,28.28933,20241108090939
20241108091325,1000,0.8942,0.024,25.03276,20241108091325
20241108091445,1100,0.9723,0.0,22.99881,20241108091445
20241108091832,1100,0.9646,0.004,23.28278,20241108091835
20241108091947,1100,0.9518,0.004,23.2646,20241108091946
20241108092342,1100,0.905,0.016,23.35132,20241108092346
20241108092456,1100,0.9598,0.0,25.56433,20241108092457
20241108092842,1100,0.9772,0.012,22.97083,20241108092847
20241108092957,1100,0.8953,0.008,28.22219,20241108092958
20241108093349,1100,0.9797,0.008,24.45923,20241108093349
20241108093503,1100,0.9797,0.004,27.79133,20241108093509
20241108093853,1100,0.972,0.016,27.03455,20241108093855
20241108094008,1100,0.8417,0.004,23.29397,20241108094005
20241108094350,1100,0.9421,0.012,24.83692,20241108094356
20241108094505,1100,0.931,0.0,25.8609,20241108094506
20241108094849,1100,0.9847,0.008,26.5897,20241108094847
20241108095003,1100,0.9531,0.004,31.15002,20241108095007
20241108095351,1100,0.7875,0.024,23.94584,20241108095358
20241108095505,1100,0.9545,0.004,28.41523,20241108095508
20241108095849,1100,0.8703,0.012,23.5108,20241108095849
20241108100003,1100,0.9523,0.0,29.57769,20241108100009
20241108100346,1100,0.9696,0.004,25.77836,20241108100346
20241108100501,1100,0.903,0.004,30.86745,20241108100507
20241108100843,1100,0.9596,0.008,23.23102,20241108100847
20241108100957,1100,0.9723,0.0,23.17787,20241108100957
20241108101350,1100,0.8588,0.016,26.33651,20241108101358
20241108101504,1100,0.9772,0.0,29.54552,20241108101508
20241108101847,1100,0.8847,0.016,27.18982,20241108101849
20241108102001,1100,0.9153,0.0,32.49294,20241108102009
20241108102347,1100,0.7772,0.008,23.96683,20241108102345
20241108102501,1100,0.9447,0.0,29.85327,20241108102505
20241108102850,1100,0.9372,0.024,23.32614,20241108102856
20241108103005,1100,0.7476,0.012,30.40862,20241108103006
20241108103350,1100,0.908,0.024,24.27038,20241108103357
20241108103504,1100,0.9419,0.0,30.51913,20241108103507
20241108103852,1100,0.6953,0.024,24.14728,20241108103858
20241108104006,1100,0.8903,0.008,29.95259,20241108104008
20241108104349,1100,0.8284,0.016,23.68845,20241108104348
20241108104503,1100,0.9318,0.0,26.48479,20241108104509
20241108104851,1100,0.9495,0.036,28.08929,20241108104859
20241108105006,1100,0.7707,0.012,23.16947,20241108105005
20241108105355,1100,0.7581,0.012,24.248,20241108105355
20241108105509,1100,0.9118,0.0,23.27579,20241108105506
20241108105905,1100,0.79,0.028,27.10029,20241108105906
20241108110020,1100,0.6452,0.012,29.92461,20241108110027
20241108110406,1100,0.9543,0.02,25.33772,20241108110407
20241108110521,1100,0.8847,0.004,31.21996,20241108110527
20241108110911,1100,0.8271,0.028,24.05915,20241108110919
20241108111025,1100,0.9499,0.0,31.40461,20241108111029
20241108111405,1100,0.9543,0.024,23.60172,20241108111405
20241108111519,1100,0.9545,0.0,23.29817,20241108111515
20241108111856,1100,0.9497,0.012,23.80176,20241108111856
20241108112011,1100,0.6733,0.008,27.80532,20241108112016
20241108112400,1100,0.7382,0.028,24.22422,20241108112407
20241108112514,1100,0.885,0.008,28.96219,20241108112517
20241108112902,1100,0.8722,0.024,25.05235,20241108112908
20241108113016,1100,0.9289,0.0,30.52752,20241108113018
20241108113407,1100,0.7293,0.004,26.83731,20241108113409
20241108113521,1100,0.86,0.008,28.42362,20241108113529
20241108113906,1100,0.9273,0.02,26.05814,20241108113905
20241108114021,1100,0.602,0.012,29.08109,20241108114025
20241108114408,1100,0.6625,0.016,30.1904,20241108114406
20241108114522,1100,0.5301,0.008,29.32869,20241108114526
20241108114907,1100,0.7569,0.004,24.1165,20241108114907
20241108115021,1100,0.7731,0.012,30.97656,20241108115027
20241108115408,1100,0.9192,0.008,23.42686,20241108115408
20241108115522,1100,0.903,0.004,28.9524,20241108115528
20241108115906,1100,0.7402,0.012,24.02978,20241108115908
20241108120020,1100,0.9725,0.004,26.7226,20241108120029
20241108120413,1100,0.92,0.016,24.83133,20241108120415
20241108120528,1100,0.9394,0.004,23.14709,20241108120525
20241108120915,1100,0.9171,0.02,23.28278,20241108120917
20241108121029,1100,0.9773,0.0,23.09953,20241108121028
20241108121418,1100,0.9724,0.004,25.71541,20241108121415
20241108121533,1100,0.9219,0.004,29.96238,20241108121536
20241108121922,1100,0.9646,0.004,25.21322,20241108121926
20241108122037,1100,0.9697,0.0,23.10372,20241108122037
20241108122426,1100,0.9109,0.028,26.20642,20241108122428
20241108122541,1100,0.8872,0.012,27.4584,20241108122548
20241108122927,1100,0.9194,0.008,26.27636,20241108122929
20241108123041,1100,0.9797,0.0,27.19542,20241108123049
20241108123429,1100,0.9822,0.008,23.76259,20241108123425
20241108123544,1100,0.9199,0.0,24.59352,20241108123546
20241108123929,1100,0.866,0.012,24.18365,20241108123926
20241108124043,1100,0.9648,0.0,28.71878,20241108124046
20241108124436,1100,0.79,0.024,27.23039,20241108124437
20241108124550,1100,0.9623,0.0,30.5611,20241108124557
20241108124934,1100,0.8866,0.016,23.21703,20241108124939
20241108125048,1100,0.9342,0.004,23.18906,20241108125045
20241108125437,1100,0.7947,0.012,23.2576,20241108125437
20241108125551,1100,0.9822,0.0,31.28012,20241108125557
20241108125945,1100,0.9596,0.012,23.32614,20241108125949
