time,cpu_frequency,cpu_usage,sda_usage
20241108000001,800,0.8628,0.008
20241108000409,800,0.8575,0.016
20241108000524,800,0.9223,0.008
20241108000932,800,0.6749,0.016
20241108001047,800,0.8247,0.008
20241108001455,800,0.8329,0.012
20241108001610,800,0.7519,0.012
20241108002023,800,0.8504,0.012
20241108002138,800,0.9318,0.004
20241108002551,800,0.701,0.024
20241108002706,800,0.9372,0.004
20241108003127,800,0.7873,0.032
20241108003248,1000,0.9118,0.008
20241108003648,1000,0.8417,0.02
20241108003803,1000,0.6381,0.008
20241108004205,1000,0.7904,0.032
20241108004320,1000,0.6675,0.012
20241108004716,1000,0.6952,0.008
20241108004830,1000,0.8296,0.008
20241108005229,1000,0.9148,0.012
20241108005344,1000,0.8787,0.004
20241108005745,1000,0.8609,0.016
20241108005900,1000,0.6988,0.008
20241108010302,1000,0.6364,0.024
20241108010416,1000,0.6892,0.012
20241108010816,1000,0.9593,0.016
20241108010930,1000,0.9772,0.0
20241108011335,1000,0.9086,0.016
20241108011449,1000,0.9621,0.004
20241108011847,1000,0.9747,0.016
20241108012001,1000,0.9772,0.004
20241108012406,1000,0.967,0.016
20241108012521,1000,0.9468,0.0
20241108012921,1000,0.9422,0.02
20241108013035,1000,0.9698,0.0
20241108013427,1000,0.9419,0.016
20241108013541,1000,0.9401,0.0
20241108013943,1000,0.9542,0.024
20241108014057,1000,0.9675,0.0
20241108014455,1000,0.892,0.008
20241108014609,1000,0.9847,0.008
20241108015012,1000,0.9169,0.012
20241108015126,1000,0.9492,0.0
20241108015521,1000,0.9471,0.012
20241108015636,1000,0.9127,0.004
20241108020031,1000,0.9471,0.012
20241108020146,1000,0.8337,0.012
20241108020537,1000,0.952,0.016
20241108020651,1000,0.9674,0.0
20241108021050,1000,0.8558,0.012
20241108021205,1000,0.865,0.008
20241108021606,1000,0.937,0.008
20241108021721,1000,0.898,0.012
20241108022120,1000,0.7925,0.032
20241108022234,1000,0.9495,0.004
20241108022629,1000,0.9447,0.012
20241108022744,1000,0.8797,0.004
20241108023143,1000,0.9519,0.016
20241108023258,1000,0.8247,0.012
20241108023650,1000,0.8367,0.016
20241108023804,1000,0.9146,0.008
20241108024206,1000,0.9121,0.032
20241108024321,1000,0.7241,0.008
20241108024717,1000,0.798,0.016
20241108024832,1000,0.7537,0.012
20241108025226,1000,0.9082,0.008
20241108025341,1000,0.8922,0.008
20241108025739,1000,0.6366,0.012
20241108025853,1000,0.8753,0.004
20241108030251,1000,0.9218,0.016
20241108030406,1000,0.6651,0.008
20241108030808,1000,0.6894,0.048
20241108030923,1000,0.9116,0.0
20241108031323,1000,0.7975,0.016
20241108031438,1000,0.6123,0.016
20241108031835,1000,0.8413,0.02
20241108031950,1000,0.708,0.008
20241108032354,1000,0.9444,0.012
20241108032509,1000,0.7174,0.012
20241108032908,1000,0.7556,0.02
20241108033022,1000,0.893,0.004
20241108033424,1000,0.7563,0.016
20241108033538,1000,0.9444,0.004
20241108033934,1000,0.7266,0.012
20241108034048,1000,0.7952,0.024
20241108034609,1000,0.9647,0.0
20241108035011,1000,0.9322,0.016
20241108035125,1000,0.9698,0.004
20241108035530,1000,0.9248,0.02
20241108035644,1000,0.9748,0.0
20241108040040,1000,0.8826,0.012
20241108040154,1000,0.9466,0.004
20241108040551,1000,0.9594,0.008
20241108040705,1000,0.9747,0.0
20241108041103,1000,0.9497,0.012
20241108041217,1000,0.9695,0.0
20241108041619,1000,0.8841,0.012
20241108041733,1000,0.9747,0.0
20241108042128,1000,0.9698,0.004
20241108042243,1000,0.9416,0.004
20241108042644,1000,0.9248,0.012
20241108042758,1000,0.9346,0.0
20241108043149,1000,0.8633,0.016
20241108043304,1000,0.8747,0.004
20241108043658,1000,0.8401,0.04
20241108043812,1000,0.952,0.0
20241108044212,1000,0.9698,0.004
20241108044327,1000,0.9418,0.004
20241108044729,1000,0.7525,0.024
20241108044843,1000,0.952,0.008
20241108045245,1000,0.8803,0.02
20241108045400,1000,0.9515,0.0
20241108045758,1000,0.9223,0.016
20241108045913,1000,0.9123,0.012
20241108050311,1000,0.8521,0.016
20241108050426,1000,0.8213,0.012
20241108050824,1000,0.771,0.028
20241108050939,1000,0.8359,0.016
20241108051341,1000,0.9401,0.012
20241108051455,1000,0.9671,0.0
20241108051855,1000,0.7338,0.02
20241108052009,1000,0.9154,0.012
20241108052404,1000,0.8719,0.028
20241108052519,1000,0.6757,0.008
20241108052925,1000,0.9446,0.008
20241108053039,1000,0.957,0.0
20241108053434,1000,0.8,0.016
20241108053548,1000,0.9373,0.0
20241108053948,1000,0.735,0.008
20241108054102,1000,0.6595,0.008
20241108054454,1000,0.8144,0.04
20241108054608,1000,0.9298,0.004
20241108055004,1000,0.7537,0.008
20241108055118,1000,0.7761,0.008
20241108055510,1000,0.6782,0.016
20241108055624,1000,0.9521,0.004
20241108060021,1000,0.8492,0.032
20241108060136,1000,0.7286,0.012
20241108060531,1000,0.745,0.016
20241108060645,1000,0.8878,0.004
20241108061046,1000,0.7002,0.008
20241108061200,1000,0.8065,0.012
20241108061610,1000,0.7543,0.016
20241108061725,1000,0.6559,0.008
20241108062122,1000,0.5657,0.028
20241108062237,1000,0.6307,0.012
20241108062635,1000,0.9747,0.0
20241108062750,1000,0.95,0.0
20241108063145,1000,0.9211,0.008
20241108063300,1000,0.9494,0.0
20241108063656,1000,0.9621,0.008
20241108063811,1000,0.9392,0.0
20241108064210,1000,0.8905,0.016
20241108064324,1000,0.9447,0.004
20241108064724,1000,0.9146,0.016
20241108064838,1000,0.9797,0.004
20241108065231,1000,0.9196,0.016
20241108065346,1000,0.8613,0.0
20241108065747,1000,0.9401,0.024
