param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,run_time,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90
90,0.9,110,0.9,0.4,700,TRUE,TRUE,800,248,41,6,8,10,16,9,6,5,11,78,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,2,4,1,4,3,3,1,0,1,2,12,6,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,0.8,140,0.86,0.3,200,TRUE,FALSE,800,244,39,5,6,13,9,9,3,9,5,82,4,0,1,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,5,6,0,1,1,0,1,1,0,1,13,9,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
40,0.8,150,0.45,0.3,150,FALSE,TRUE,800,251,51,1,4,10,8,2,3,3,1,104,2,0,1,0,2,0,1,0,0,0,1,1,0,0,2,0,0,0,0,2,8,0,1,0,1,1,0,1,3,16,3,0,0,0,1,0,0,1,1,2,1,0,1,2,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10,0.6,250,0.57,0.8,780,FALSE,TRUE,800,248,42,5,7,7,10,5,4,2,6,94,4,0,0,1,0,0,0,0,1,2,2,0,0,1,0,0,0,1,0,5,6,0,0,6,2,1,0,1,0,13,1,1,0,0,0,0,0,1,2,4,1,1,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
60,0.9,220,0.49,0.9,880,FALSE,TRUE,800,256,47,5,9,8,13,7,5,2,9,78,6,1,0,1,0,1,0,0,1,0,7,0,2,0,0,2,0,0,0,6,10,0,2,1,2,1,0,3,0,8,2,0,0,0,2,0,0,1,0,3,3,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
10,0.8,230,0.68,0.5,800,FALSE,FALSE,800,239,45,4,6,10,12,5,1,4,9,82,4,2,1,1,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,4,6,2,1,1,0,2,2,1,2,11,3,0,0,0,0,0,1,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
80,0.7,250,0.81,0.6,1000,TRUE,FALSE,800,246,47,1,4,9,4,3,2,4,2,98,1,1,0,2,2,2,0,0,0,1,5,0,0,1,3,1,0,0,2,11,8,0,1,2,0,1,1,0,0,6,1,0,0,0,2,0,0,0,1,0,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0
20,0.7,170,0.31,0.3,130,FALSE,FALSE,800,246,49,4,4,4,4,3,5,5,5,94,8,0,2,0,1,1,0,0,0,0,3,0,1,0,1,1,0,3,0,2,9,0,0,2,0,0,1,0,0,16,1,0,1,2,1,0,0,0,2,4,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,0.7,250,0.64,0.3,710,FALSE,FALSE,800,250,43,5,6,10,5,5,2,5,8,94,3,0,0,2,0,0,0,1,0,0,8,0,1,0,1,0,1,0,1,15,3,1,0,0,1,1,1,0,0,6,4,0,0,1,1,1,0,1,0,3,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
50,0.8,260,0.59,0.5,910,FALSE,FALSE,800,241,46,6,6,12,8,4,2,3,7,74,10,2,0,0,0,0,1,0,0,0,6,0,2,1,1,0,1,0,0,14,5,0,1,0,1,2,2,0,2,1,5,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
