time,cpu_frequency,cpu_usage,sda_usage
20260312140123,1300,0.7637,0.0065
20260312140218,1300,0.7637,0.0065
20260312140313,1300,0.7637,0.0065
20260312140408,1300,0.7637,0.0065
20260312140504,1300,0.7636,0.0065
20260312140557,1300,0.7636,0.0065
20260312140652,1300,0.7636,0.0065
20260312140746,1300,0.7636,0.0065
20260312140840,1300,0.7635,0.0065
20260312140935,1300,0.7635,0.0065
20260312141030,1300,0.7635,0.0065
20260312141125,1300,0.7635,0.0065
20260312141220,1300,0.7634,0.0065
20260312141315,1300,0.7634,0.0065
20260312141410,1300,0.7634,0.0065
20260312141504,1300,0.7634,0.0065
20260312141559,1300,0.7633,0.0065
20260312141654,1300,0.7633,0.0065
20260312141748,1300,0.7633,0.0065
20260312141843,1300,0.7633,0.0065
20260312141937,1300,0.7632,0.0065
20260312142031,1300,0.7632,0.0065
20260312142125,1300,0.7632,0.0065
20260312142220,1300,0.7632,0.0065
20260312142314,1300,0.7631,0.0065
20260312142406,1300,0.7631,0.0065
20260312142550,1600,0.763,0.0065
20260312142658,1600,0.763,0.0065
20260312142745,1600,0.763,0.0065
20260312142833,1600,0.763,0.0065
20260312142920,1600,0.7629,0.0065
20260312143007,1600,0.7629,0.0065
20260312143054,1600,0.7629,0.0065
20260312143140,1600,0.7629,0.0065
20260312143228,1600,0.7629,0.0065
20260312143313,1600,0.7628,0.0065
20260312143401,1600,0.7628,0.0065
20260312143448,1600,0.7628,0.0065
20260312143535,1600,0.7628,0.0065
20260312143623,1600,0.7628,0.0065
20260312143710,1600,0.7628,0.0065
20260312143755,1600,0.7627,0.0065
20260312143843,1600,0.7627,0.0065
20260312143929,1600,0.7627,0.0065
20260312144015,1600,0.7627,0.0065
20260312144103,1600,0.7627,0.0065
20260312144149,1600,0.7626,0.0065
20260312144236,1600,0.7626,0.0065
20260312144323,1600,0.7626,0.0065
20260312144412,1600,0.7626,0.0065
20260312144458,1600,0.7626,0.0065
20260312144544,1600,0.7626,0.0065
20260312144631,1600,0.7625,0.0065
20260312144717,1600,0.7625,0.0065
20260312144805,1600,0.7625,0.0065
20260312144852,1600,0.7625,0.0065
20260312144939,1600,0.7625,0.0065
20260312145026,1600,0.7625,0.0065
20260312145113,1600,0.7624,0.0065
20260312145159,1600,0.7624,0.0065
20260312145248,1600,0.7624,0.0065
20260312145334,1600,0.7624,0.0065
20260312145421,1600,0.7624,0.0065
20260312145506,1600,0.7623,0.0065
20260312145554,1600,0.7623,0.0065
20260312145641,1600,0.7623,0.0065
20260312145728,1600,0.7623,0.0065
20260312145815,1600,0.7623,0.0065
20260312145901,1600,0.7623,0.0065
20260312145948,1600,0.7622,0.0065
20260312150034,1600,0.7622,0.0065
20260312150121,1600,0.7622,0.0065
20260312150208,1600,0.7622,0.0065
20260312150255,1600,0.7622,0.0065
20260312150342,1600,0.7621,0.0065
20260312150429,1600,0.7621,0.0065
20260312150517,1600,0.7621,0.0065
20260312150604,1600,0.7621,0.0065
20260312150649,1600,0.7621,0.0065
20260312150736,1600,0.7621,0.0065
20260312150823,1600,0.762,0.0065
20260312150910,1600,0.762,0.0065
20260312150957,1600,0.762,0.0065
20260312151043,1600,0.762,0.0065
20260312151130,1600,0.762,0.0065
20260312151216,1600,0.7619,0.0065
20260312151303,1600,0.7619,0.0065
20260312151350,1600,0.7619,0.0065
20260312151437,1600,0.7619,0.0065
20260312151524,1600,0.7619,0.0065
20260312151611,1600,0.7619,0.0065
20260312151658,1600,0.7618,0.0065
20260312151745,1600,0.7618,0.0065
20260312151832,1600,0.7618,0.0065
20260312151918,1600,0.7618,0.0065
20260312152005,1600,0.7618,0.0065
20260312152137,1600,0.7617,0.0065
20260312152226,1600,0.7617,0.0065
20260312152313,1600,0.7617,0.0065
20260312152358,1600,0.7617,0.0065
20260312152446,1600,0.7617,0.0065
20260312152533,1600,0.7616,0.0065
20260312152621,1600,0.7616,0.0065
20260312152708,1600,0.7616,0.0065
20260312152754,1600,0.7616,0.0065
20260312152841,1600,0.7616,0.0065
20260312152928,1600,0.7616,0.0065
20260312153014,1600,0.7615,0.0065
20260312153101,1600,0.7615,0.0065
20260312153148,1600,0.7615,0.0065
20260312153234,1600,0.7615,0.0065
20260312153322,1600,0.7615,0.0065
20260312153409,1600,0.7614,0.0065
20260312153455,1600,0.7614,0.0065
20260312153541,1600,0.7614,0.0065
20260312153627,1600,0.7614,0.0065
20260312153715,1600,0.7614,0.0065
20260312153800,1600,0.7614,0.0065
20260312153847,1600,0.7613,0.0065
20260312153934,1600,0.7613,0.0065
20260312154021,1600,0.7613,0.0065
20260312154107,1600,0.7613,0.0065
20260312154154,1600,0.7613,0.0065
20260312154241,1600,0.7613,0.0065
20260312154328,1600,0.7612,0.0065
20260312154502,2000,0.7612,0.0065
20260312154605,2000,0.7612,0.0065
20260312154647,2000,0.7611,0.0065
20260312154731,2000,0.7611,0.0066
20260312154814,2000,0.7611,0.0066
20260312154856,2000,0.7611,0.0066
20260312154939,2000,0.7611,0.0066
20260312155022,2000,0.7611,0.0066
20260312155106,2000,0.7611,0.0066
20260312155148,2000,0.7611,0.0066
20260312155231,2000,0.761,0.0066
20260312155314,2000,0.761,0.0066
20260312155356,2000,0.761,0.0066
20260312155439,2000,0.761,0.0066
20260312155522,2000,0.761,0.0066
20260312155605,2000,0.761,0.0066
20260312155647,2000,0.761,0.0066
20260312155729,2000,0.761,0.0066
20260312155814,2000,0.7609,0.0066
20260312155857,2000,0.7609,0.0066
20260312155939,2000,0.7609,0.0066
20260312160022,2000,0.7609,0.0066
20260312160105,2000,0.7609,0.0066
20260312160147,2000,0.7609,0.0066
20260312160230,2000,0.7609,0.0066
20260312160313,2000,0.7609,0.0066
20260312160356,2000,0.7608,0.0066
20260312160440,2000,0.7608,0.0066
20260312160525,2000,0.7608,0.0066
20260312160607,2000,0.7608,0.0066
20260312160649,2000,0.7608,0.0066
20260312160732,2000,0.7608,0.0066
20260312160813,2000,0.7608,0.0066
