time,cpu_frequency,cpu_usage,sda_usage,active_power,power_time
20241116133631,800,0.7179,0.028,29.55111,20241116133634
20241116133747,800,0.9322,0.004,30.96117,20241116133745
20241116133839,800,0.9499,0.016,27.03734,20241116133835
20241116133955,800,0.9504,0.0,27.32131,20241116133955
20241116134047,800,0.9599,0.016,23.95704,20241116134045
20241116134203,800,0.9268,0.016,29.26015,20241116134205
20241116134259,800,0.8759,0.008,24.01579,20241116134255
20241116134414,800,0.9548,0.008,29.4364,20241116134415
20241116134507,800,0.8985,0.008,23.18066,20241116134505
20241116134623,800,0.9496,0.0,31.48155,20241116134626
20241116134716,800,0.8731,0.028,24.21722,20241116134716
20241116134831,800,0.96,0.008,29.61266,20241116134836
20241116134926,800,0.866,0.008,23.57234,20241116134926
20241116135042,800,0.8955,0.004,30.58488,20241116135046
20241116135134,800,0.8197,0.024,25.22721,20241116135136
20241116135249,800,0.9695,0.004,30.85206,20241116135246
20241116135346,800,0.8645,0.008,23.42966,20241116135346
20241116135501,800,0.9384,0.004,29.09228,20241116135506
20241116135554,800,0.8768,0.004,30.73735,20241116135556
20241116135710,800,0.9204,0.012,30.3107,20241116135716
20241116135802,800,0.8975,0.012,26.57851,20241116135806
20241116135918,800,0.962,0.016,30.75834,20241116135917
20241116140012,800,0.9569,0.016,24.38789,20241116140017
20241116140128,800,0.932,0.008,30.56949,20241116140127
20241116140223,800,0.9475,0.02,29.6854,20241116140227
20241116140339,800,0.9271,0.004,29.47977,20241116140337
20241116140434,800,0.9425,0.012,27.50317,20241116140437
20241116140550,800,0.9231,0.016,26.78135,20241116140557
20241116140642,800,0.804,0.02,30.54291,20241116140647
20241116140757,800,0.9549,0.0,30.45338,20241116140757
20241116140850,800,0.825,0.016,25.65386,20241116140858
20241116141006,800,0.8374,0.02,26.98838,20241116141008
20241116141058,800,0.8995,0.012,23.40728,20241116141058
20241116141214,800,0.9295,0.008,31.1738,20241116141218
20241116141306,800,0.8647,0.004,24.05495,20241116141308
20241116141422,800,0.8734,0.012,29.29932,20241116141428
20241116141514,800,0.8905,0.012,26.16305,20241116141518
20241116141629,800,0.9501,0.008,29.17901,20241116141628
20241116141722,800,0.8647,0.012,31.15421,20241116141729
20241116141838,800,0.9348,0.016,31.52771,20241116141839
20241116141929,800,0.9524,0.008,23.59333,20241116141929
20241116142045,800,0.9468,0.0,30.9234,20241116142049
20241116142138,800,0.8925,0.016,23.53877,20241116142139
20241116142254,800,0.9323,0.012,28.9468,20241116142259
20241116142350,800,0.9242,0.012,26.35889,20241116142359
20241116142506,800,0.9154,0.016,28.18022,20241116142509
20241116142559,800,0.7786,0.004,23.95983,20241116142559
